ID,Reason_absence,year,Month,Day_week,Seasons,Transportation_expense,Distance_Residence_Work,Service_time,Age,Work_Average,Target,Disciplinary_failure,Education,Son,Drinker,Smoker,Pet,Weight,Height,Body_mass_index,Absenteeism_time,Salary
36,0,2008,7,3,1,118,13,18,50,4,97,1,1,1,1,0,0,98,178,31,0,13188.50867
20,1,2008,7,2,1,260,50,11,36,4,97,0,1,4,1,0,0,65,168,23,8,13102.11584
20,1,2008,7,3,1,260,50,11,36,4,97,0,1,4,1,0,0,65,168,23,8,13099.07024
7,7,2008,7,5,1,279,5,14,39,4,97,0,1,2,1,1,0,68,168,24,4,13167.50261
20,11,2008,7,4,1,260,50,11,36,4,97,0,1,4,1,0,0,65,168,23,8,13098.70033
3,11,2008,7,4,1,179,51,18,38,4,97,0,1,0,1,0,0,89,170,31,1,13097.4462
6,11,2008,7,5,1,189,29,13,33,4,97,0,1,2,0,0,2,69,167,25,8,13032.44852
24,14,2008,7,6,1,246,25,16,41,4,97,0,1,0,1,0,0,67,170,23,8,13067.12148
14,19,2008,7,2,1,155,12,14,34,4,97,0,1,2,1,0,0,95,196,25,40,13114.88493
3,21,2008,7,2,1,179,51,18,38,4,97,0,1,0,1,0,0,89,170,31,8,13043.08077
1,22,2008,7,2,1,235,11,14,37,4,97,0,3,1,0,0,1,88,172,29,8,17656.37047
10,22,2008,7,6,1,361,52,3,28,4,97,0,1,1,1,0,4,80,172,27,8,13146.52624
3,23,2008,7,4,1,179,51,18,38,4,97,0,1,0,1,0,0,89,170,31,2,13179.6495
3,23,2008,7,4,1,179,51,18,38,4,97,0,1,0,1,0,0,89,170,31,4,13069.49583
11,23,2008,7,5,1,289,36,13,33,4,97,0,1,2,1,0,1,90,172,30,2,13156.91224
20,23,2008,7,6,1,260,50,11,36,4,97,0,1,4,1,0,0,65,168,23,4,13136.11284
3,23,2008,7,6,1,179,51,18,38,4,97,0,1,0,1,0,0,89,170,31,2,13148.51628
3,23,2008,7,6,1,179,51,18,38,4,97,0,1,0,1,0,0,89,170,31,2,13065.92149
11,26,2008,7,3,1,289,36,13,33,4,97,0,1,2,1,0,1,90,172,30,4,13204.20083
18,10,2008,8,4,1,330,16,4,28,3.4,92,0,2,0,0,0,0,84,182,25,8,16837.89816
3,11,2008,8,2,1,179,51,18,38,3.4,92,0,1,0,1,0,0,89,170,31,1,10597.36889
19,11,2008,8,5,1,291,50,12,32,3.4,92,0,1,0,1,0,0,65,169,23,4,9358.268811
10,13,2008,8,2,1,361,52,3,28,3.4,92,0,1,1,1,0,4,80,172,27,40,10555.12525
11,18,2008,8,2,1,289,36,13,33,3.4,92,0,1,2,1,0,1,90,172,30,8,10479.15317
3,18,2008,8,2,1,179,51,18,38,3.4,92,0,1,0,1,0,0,89,170,31,8,9776.996859
2,18,2008,8,2,1,235,29,12,48,3.4,92,0,1,1,0,1,5,88,163,33,8,9625.367116
